,Year,Expenditure in million GBP
0,2019 Q4,5384
1,2019 Q3,5420
2,2019 Q2,5395
3,2019 Q1,5387
4,2018 Q4,5402
5,2018 Q3,5407
6,2018 Q2,5399
7,2018 Q1,5070
8,2017 Q4,5077
9,2017 Q3,4973
10,2017 Q2,5013
11,2017 Q1,4743
12,2016 Q4,4603
13,2016 Q3,4558
14,2016 Q2,4611
15,2016 Q1,4499
16,2015 Q4,4591
17,2015 Q3,4550
18,2015 Q2,4493
19,2015 Q1,4544
20,2014 Q4,4420
21,2014 Q3,4394
22,2014 Q2,4314
23,2014 Q1,4681
24,2013 Q4,4573
25,2013 Q3,4717
26,2013 Q2,4306
27,2013 Q1,4585
28,2012 Q4,4245
29,2012 Q3,4117
30,2012 Q2,4045
31,2012 Q1,4162
