,Month,Net income in million U.S. dollars
0,"Jan 1, 2019 - Dec 31, 2019",-149.1
1,"Jan 1, 2018 - Dec 31, 2018",110.1
2,"Jan 1, 2017 - Dec 31, 2017",-487.2
3,"Jan 1, 2016 - Dec 31, 2016",111.67
4,"Jan 1, 2015 - Dec 31, 2015",103.86
5,"Jan 1, 2014 - Dec 31, 2014",64.08
6,"Jan 1, 2013 - Dec 31, 2013",364.4
7,"Aug 31, 2012 - Dec 31, 2012",-42.67
8,"Mar 3, 2012 - Aug 30, 2012",94.4
9,"FY 2011 (Apr 1, 2011 - Mar 29, 2012)",-81.99
10,"FY 2010 (Apr 2, 2010 - Mar 31, 2011)",-122.85
11,"FY 2009 (Apr 3, 2009 - Apr 1, 2010)",69.79
12,"FY 2008 (Apr 4, 2008 - Apr 2, 2009)",-81.17
13,"FY 2007 (Mar 30, 2007 - Apr 3, 2008)",43.44
14,"FY 2006 (Mar 31, 2006 - Mar 29, 2007)",134.08
