,State,Consumption in thousand gallons
0,California,155591
1,Florida,72669
2,New York,65759
3,Texas,60291
4,Illinois,36981
5,New Jersey,33015
6,North Carolina,30159
7,Massachusetts,28859
8,Pennsylvania,27721
9,Virginia,26950
10,Michigan,25903
11,Washington,24805
12,Ohio,23211
13,Colorado,18880
14,Arizona,17739
15,Georgia,16622
16,Oregon,15746
17,Minnesota,15683
18,Maryland,14943
19,Missouri,14903
20,Wisconsin,14651
21,Tennessee,13964
22,Connecticut,13942
23,Idaho,13218
24,Indiana,12481
25,Nevada,11707
26,Louisiana,9886
27,South Carolina,8182
28,Alabama,8133
29,New Hampshire,7583
30,Kentucky,6155
31,Hawaii,5373
32,Oklahoma,4855
33,District of Columbia,4708
34,Iowa,4627
35,Delaware,4502
36,Arkansas,4491
37,New Mexico,4174
38,Rhode Island,4006
39,Maine,3941
40,Utah,3788
41,Montana,3516
42,Mississippi,3407
43,Vermont,3244
44,Kansas,2649
45,Nebraska,2572
46,Alaska,2448
47,North Dakota,1610
48,West Virginia,1303
49,South Dakota,1235
50,Wyoming,1161
