,Operator,Number of offshore rigs
0,Pemex (NOC),45
1,Saudi Aramco (NOC),44
2,ONGC (NOC),41
3,Petrobras (NOC),35
4,Statoil,34
5,BP,33
6,Shell,30
7,CNOOC (NOC),24
8,ADNOC Offshore (NOC),20
9,Chevron,17
10,ExxonMobil,15
11,Total,15
12,PDVSA (NOC),14
13,Petronas Carigali (NOC),12
14,ConocoPhillips,12
15,Chernomorneftegaz,12
16,Eni,11
17,Socar (NOC),10
18,Talisman,8
19,Pars Oil & Gas (NOC),8
20,VietSovPetro,7
21,Anadarko,6
22,IOOC (NOC),6
23,Petrobel (NOC),6
24,Maersk Oil,5
25,Lundin Petroleum,5
26,Marathon,4
27,Qatar Petroleum (NOC),4
28,Sinopec,4
29,Wintershall,4
30,Hess Corp.,4
31,Gazflot (NOC),3
32,Dragon Oil,3
33,Apache,3
34,CNR International,3
35,PTTEP (NOC),3
36,Dubai Petroleum (NOC),3
37,ADNOC Offshore (NOC)/ ADNOC Drilling,3
38,Woodside Petroleum,3
39,ENGIE E&P,2
40,EnVen Energy,2
41,Hibernia Mgmt & Dev. CO.,2
42,Pertamina Hulu Energi ONWJ,2
43,Repsol,2
44,GPC,2
45,IOEC,2
46,Arena,2
47,Gupco (NOC),2
48,Sakhalin Energy Invest. Co.,2
49,AIOC,2
50,ADOC (NOC),2
51,RasGas,2
52,Freeport-McMoRan,2
53,EnQuest PLC,2
54,Mubadala Petroleum,2
55,Shanghai Petroleum Co.,2
56,W&T Offshore,2
57,Sakhalin Energy,2
58,ShengLi Offshore,2
59,TAQA Bratani,2
60,Petropars,1
61,Pan American Energy,1
62,Fairfield Energy,1
63,Operator Undisclosed,1
64,Furie Operating Alaska LLC,1
65,Premier Oil,1
66,Wapiti Operating,1
67,KazMunayGas,1
68,Cabinda Gulf,1
69,Kosmos Energy,1
70,LLOG Exploration,1
71,OMV,1
72,North Oil Co,1
73,EOG Resources,1
74,Bundug Oil,1
75,KrisEnergy,1
76,Mellitah Oil & Gas,1
77,Mossgas,1
78,Black Sea Oil & Gas,1
79,NAM,1
80,Nexen,1
81,Niko Resources,1
82,NIOC (NOC),1
83,EnergyQuest,1
84,Norsk Hydro,1
85,Energean Oil & Gas SA,1
86,Occidental,1
87,Enap,1
88,OMV Petrom,1
89,Suncor Energy,1
90,Oranje Nassau Energie,1
91,Hilcorp Energy,1
92,Aera Energy,1
93,Petronas (NOC),1
94,Petrobaltic,1
95,Ineos,1
96,Shengli Petroleum Engr Company,1
97,GoMex Energy Offshore,1
98,Emirates National Oil Co (ENOC),1
99,Fanpetco,1
100,Statoil (pre-merger),1
101,Stone Energy,1
102,Amapetco,1
103,Erin Energy,1
104,Bahrain Petroleum Co (Bapco)/ Schumberger D&C,1
105,Energy XXI,1
106,Shatskmorneftegaz,1
107,Sapura Energy Berhad,1
108,Cox Operating,1
109,Abu Qir Petroleum,1
110,Saka Energi,1
111,AKER BP,1
112,Deep Gulf Energy,1
113,Elcrest,1
114,Pertamina Hulu Energi WMO,1
115,Renaissance Offshore,1
116,Perenco,1
117,Petrozenima,1
118,CPOC,1
119,Cairn Energy,1
120,CNPC (NOC),1
121,Conoil,1
122,Walter O&G,1
123,Byron Energy,1
124,CNOOC (NOC)/SK Innovation,1
125,Centrica,1
126,JAMSTEC,1
127,Caspian Oil,1
128,KNOC (NOC),1
129,Spirit Energy,1
130,National Drilling,1
131,Topic SA,1
132,BHP Biliton,1
133,BW Energy,1
134,Inpex,1
135,IPC,1
136,Husky Oil,1
137,Whintney O&G,1
