,Item,Number of items dispensed in millions
0,Atorvastatin,41.8
1,Levothyroxine Sodium,32.2
2,Omeprazole,31.0
3,Amlodipine,29.1
4,Ramipril,28.6
5,Lansoprazole,25.5
6,Simvastatin,24.3
7,Bisoprolol Fumarate,23.6
8,Colecalciferol,23.6
9,Aspirin,23.4
10,Metformin Hydrochloride,21.8
11,Salbutamol,21.6
12,Paracetamol,18.5
13,Co-Codamol (Codeine Phos/Paracetamol),15.2
14,Sertraline Hydrochloride,14.8
15,Citalopram Hydrobromide,14.1
16,Amitriptyline Hydrochloride,13.5
17,Furosemide,11.9
18,Influenza,10.3
19,Bendroflumethiazide,10.0
