,State,Tax revenue in billion U.S. dollars
0,California,188.24
1,New York,91.62
2,Texas,63.33
3,Florida,44.8
4,Pennsylvania,43.13
5,Illinois,42.5
6,New Jersey,38.84
7,Massachusetts,31.81
8,Michigan,30.27
9,Ohio,30.15
10,North Carolina,29.32
11,Minnesota,28.18
12,Washington,27.99
13,Virginia,26.29
14,Georgia,24.71
15,Maryland,23.61
16,Indiana,20.17
17,Wisconsin,20.04
18,Arizona,18.16
19,Connecticut,17.99
20,Colorado,15.87
21,Tennessee,14.83
22,Oregon,13.96
23,Missouri,13.18
24,Kentucky,12.9
25,Louisiana,11.75
26,Alabama,11.58
27,South Carolina,11.22
28,Oklahoma,10.73
29,Iowa,10.58
30,Arkansas,10.22
31,Kansas,10.03
32,Utah,9.97
33,Nevada,9.74
34,DC,8.68
35,Mississippi,8.29
36,Hawaii,8.21
37,New Mexico,7.43
38,West Virginia,5.94
39,Nebraska,5.75
40,North Dakota,4.97
41,Idaho,4.88
42,Maine,4.67
43,Delaware,4.6
44,Rhode Island,3.72
45,Vermont,3.43
46,Montana,3.17
47,New Hampshire,2.97
48,Wyoming,2.11
49,South Dakota,1.94
50,Alaska,1.78
