,Response,Share of respondents
0,"Smart TV (e.g., Apple TV, Samsung Smart TV)",25%
1,"Smart meter (e.g., an Internet-connected thermostat or utility meter)",19%
2,Smart watch,17%
3,"Connected car (e.g., car with Internet connection, GPS system or electronic toll collection device)",16%
4,"Wireless fitness tracker (e.g., Fitbit, FuelBand)",15%
5,Smart refrigerator,11%
6,"Smart glasses (e.g., headpiece that delivers digital information hands-free, such as Google Glass)",8%
7,Employee access card with sensor,3%
8,"You do not want to get any ""connected devices"" in the next year",39%
9,Other,1%
