,Year,Inflation rate compared to previous year
0,2024*,2%
1,2023*,2%
2,2022*,2%
3,2021*,1.8%
4,2020*,1.63%
5,2019*,0.72%
6,2018,0.78%
7,2017,0.68%
8,2016,-1.22%
9,2015,-1.54%
10,2014,-0.27%
11,2013,0.38%
12,2012,3.09%
13,2011,3.48%
14,2010,2.56%
15,2009,0.18%
16,2008,4.38%
17,2007,2.17%
18,2006,2.25%
19,2005,2.03%
20,2004,1.9%
21,2003,3.98%
22,2002,2.78%
23,2001,1.99%
24,2000,4.86%
25,1999,1.14%
26,1998,2.34%
27,1997,3.31%
28,1996,2.58%
29,1995,2.61%
30,1994,4.66%
31,1993,4.89%
32,1992,6.5%
33,1991,5.04%
34,1990,4.5%
35,1989,3.77%
36,1988,3.43%
37,1987,2.68%
38,1986,1.22%
39,1985,5.03%
40,1984,5.99%
