,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,2%
3,2022*,2.04%
4,2021*,2.07%
5,2020*,0.34%
6,2019*,0.54%
7,2018,2.39%
8,2017,0.11%
9,2016,-3.08%
10,2015,-0.98%
11,2014,3.52%
12,2013,1.47%
13,2012,4.18%
14,2011,2.77%
15,2010,3.25%
16,2009,-0.16%
17,2008,5.55%
18,2007,2.82%
19,2006,3.56%
20,2005,3.91%
21,2004,1.46%
22,2003,1.03%
23,2002,-0.26%
24,2001,5.27%
25,2000,4.85%
26,1999,2.42%
27,1998,3.2%
28,1997,-0.01%
29,1996,0.93%
30,1995,5.86%
31,1994,2.66%
32,1993,0.78%
33,1992,5.66%
34,1991,5.54%
35,1990,4.33%
36,1989,4.4%
37,1988,0.83%
38,1987,7.04%
39,1986,2.17%
40,1985,0.5%
