,Year,GDP per capita in U.S. dollars
0,2025*,40955.52
1,2024*,38574.27
2,2023*,36372.08
3,2022*,34349.21
4,2021*,32099.28
5,2020*,28468.65
6,2019,30374.22
7,2018,31023.6
8,2017,28551.66
9,2016,25891.09
10,2015,25228.18
11,2014,26328.8
12,2013,24032.66
13,2012,22070.54
14,2011,22918.1
15,2010,21150.42
16,2009,20806.32
17,2008,22116.12
18,2007,19584.63
19,2006,16765.53
20,2005,15899.49
21,2004,15126.47
22,2003,13648.26
23,2002,11337.66
24,2001,10391.87
25,2000,10440.48
26,1999,9944.33
27,1998,9583.84
28,1997,9111.74
29,1996,9071.56
30,1995,8943.3
