,type,Number of commited crimes
0,Burglary and robbery,507752
1,Fraud and counterfeiting,220695
2,Property damage incl. arson,196285
3,Threat and freedom violation crimes,183103
4,Alcohol and drug-related crimes,121890
5,Violent crimes,113489
6,Vehicle crime,101961
7,Traffic crimes,79460
8,Economical crimes,32984
9,Sex crimes,21074
10,Gun crimes,15475
11,Environmental crimes (animals and nature),9960
12,Criminally negligent manslaughter and negligent homicide,7629
13,Smuggling and customs crimes,5522
14,Other,48391
