,MLB Team,Number of followers in millions
0,New York Yankees,14.51
1,Boston Red Sox,9.21
2,LA Dodgers,7.73
3,Chicago Cubs,7.59
4,San Franciso Giants,5.96
5,Toronto Blue Jays,5.23
6,Atlanta Braves,4.6
7,St Louis Cardinals,4.49
8,Detroit Tigers,4.49
9,Texas Rangers,4.36
10,Philadelphia Phillies,4.24
11,Houston Astros,4.1
12,New York Mets,3.48
13,LA Angels,3.22
14,Kansas City Royals,3.09
15,Cleveland Indians,2.98
16,Chicago White Sox,2.95
17,Pittsburgh Pirates,2.56
18,Cincinnati Reds,2.54
19,Baltimore Orioles,2.46
20,Seattle Mariners,2.41
21,Minnesota Twins,2.24
22,Milwaukee Brewers,2.18
23,Washington Nationals,2.09
24,Colorado Rockies,1.92
25,Oakland Athletics,1.76
26,Arizona Diamondbacks,1.71
27,Tampa Bay Rays,1.6
28,San Diego Padres,1.57
29,Miami Marlins,1.54
