,Response,Share of population
0,UAE,99%
1,Taiwan,88%
2,South Korea,87%
3,Malaysia,81%
4,Singapore,79%
5,Hong Kong,78%
6,Argentina,76%
7,New Zealand,75%
8,Thailand,75%
9,Sweden,73%
10,Saudi Arabia,72%
11,China,72%
12,Australia,71%
13,Denmark,71%
14,Israel,70%
15,United States,70%
16,Mexico,69%
17,Colombia,69%
18,Portugal,69%
19,Vietnam,67%
20,Philippines,67%
21,Canada,67%
22,UK,66%
23,Brazil,66%
24,Ireland,65%
25,Belgium,65%
26,Japan,65%
27,Turkey,64%
28,Netherlands,64%
29,Spain,62%
30,France,60%
31,Indonesia,59%
32,Italy,58%
33,Romania,57%
34,Switzerland,52%
35,Poland,50%
36,Austria,50%
37,Worldwide,49%
38,Morocco,49%
39,Russia,48%
40,Germany,45%
41,Egypt,41%
42,South Africa,37%
43,India,29%
44,Ghana,20%
45,Kenya,17%
46,Nigeria,13%
