,Year,Inflation rate compared to previous year
0,2025*,3%
1,2024*,3%
2,2023*,3%
3,2022*,3%
4,2021*,2.67%
5,2020*,2.88%
6,2019,2.25%
7,2018,2.32%
8,2017,2.18%
9,2016,3.79%
10,2015,4.35%
11,2014,4.71%
12,2013,1.79%
13,2012,3%
14,2011,3.34%
15,2010,1.41%
16,2009,1.5%
17,2008,8.72%
18,2007,4.41%
19,2006,3.4%
20,2005,3.05%
21,2004,1.05%
22,2003,2.81%
23,2002,2.49%
24,2001,3.57%
25,2000,3.84%
26,1999,3.33%
27,1998,5.11%
28,1997,6.13%
29,1996,7.36%
30,1995,8.23%
31,1994,11.46%
32,1993,12.74%
33,1992,15.45%
34,1991,21.82%
35,1990,26.04%
36,1989,17.03%
37,1988,14.68%
38,1987,19.88%
39,1986,19.48%
40,1985,30.7%
