,Quarter,Net income in million U.S. dollars
0,Q3 2020,33.58
1,Q2 2020,23.66
2,Q1 2020,32.85
3,Q4 2019,68.21
4,Q3 2019,16.43
5,Q2 2019,25.17
6,Q1 2019,30.16
7,Q4 2018,56.98
8,Q3 2018,24.98
9,Q2 2018,23.6
10,Q1 2018,21.91
11,Q4 2017,-57.84
12,Q3 2017,32.33
13,Q2 2017,15.6
14,Q1 2017,13.12
15,Q4 2016,37.63
16,Q3 2016,0.41
17,Q2 2016,-0.49
18,Q1 2016,-8.27
19,Q4 2015,51.68
20,Q3 2015,9.42
21,Q2 2015,16.22
22,Q1 2015,-14.26
23,Q4 2014,33.83
24,Q3 2014,-12.5
25,Q2 2014*,9.19
26,Q1 2014*,1.74
27,Q4 2013,65.68
28,Q3 2013,-24.23
29,Q2 2013*,20.13
30,Q1 2013*,3.57
31,Q4 2012,178.39
32,Q3 2012,-2.75
33,Q2 2012,-88.15
34,Q1 2012,42.13
35,Q4 2011,58.95
36,Q3 2011,15.69
37,Q2 2011,-119.72
38,Q1 2011,5.42
39,Q4 2010,67.14
40,Q3 2010,-4.26
41,Q2 2010,32.03
42,Q1 2010,12.79
