,soccer matches,Number of viewers in millions
0,Germany vs. Argentina (2014 Men's World Cup Final),27.31
1,United States vs. Japan (2015 Women's World Cup Final),26.92
2,United States vs. Portugal (2014 Men's World Cup Group Stage),25.5
3,Netherlands vs. Spain (2010 Men's World Cup Final),24.7
4,United States vs. Belgium (2014 Men's World Cup Round of 16),23.69
5,United States vs. Ghana (2010 Men's World Cup Round of 16),19.4
6,Brazil vs. Italy (1994 Men's World Cup Final),18.1
7,United States vs. China (1999 Women's World Cup Final),17.98
8,Netherlands vs. Mexico (2014 Men's World Cup Round of 16),17.27
9,United States vs. England (2010 World Cup Group Stage),17.1
