,city,Daily price in U.S. dollars
0,"Saigon (Ho Chi Minh City), Viet Nam",19.49
1,"Hanoi, Viet Nam",19.7
2,"Hoi An, Viet Nam",21.49
3,"Vientiane, Laos",21.74
4,"Yangon, Myanmar",21.77
5,"Manila, Philippines",22.13
6,"Pokhara, Nepal",22.52
7,"Quito, Ecuador",22.8
8,"Phnom Penh, Cambodia",23.04
9,"Chiang Mai, Thailand",23.41
10,"Granada (Nicaragua), Nicaragua",24.26
11,"Jakarta, Indonesia",24.29
12,"Kathmandu, Nepal",24.62
13,"Delhi, India",24.65
14,"Zanzibar City, Tanzania",24.87
15,"Colombo, Sri Lanka",25.18
16,"La Paz, Bolivia",25.46
17,"Goa, India",25.84
18,"Luang Prabang, Laos",26.43
19,"Bucharest, Romania",27.07
