,State,Percent voted
0,Alabama,48.8%
1,Alaska,50.2%
2,Arizona,52.2%
3,Arkansas,40.6%
4,California,43.8%
5,Colorado,53.8%
6,Connecticut,48.3%
7,Delaware,48.8%
8,District of Columbia,55.2%
9,Florida,47%
10,Georgia,52%
11,Hawaii,40.4%
12,Idaho,45.2%
13,Illinois,48.7%
14,Indiana,47.2%
15,Iowa,56.2%
16,Kansas,53.6%
17,Kentucky,51.8%
18,Louisiana,47.9%
19,Maine,64.5%
20,Maryland,49.7%
21,Massachusetts,50%
22,Michigan,57.7%
23,Minnesota,59.5%
24,Mississippi,53.8%
25,Missouri,53.7%
26,Montana,63%
27,Nebraska,47.3%
28,Nevada,43.3%
29,New Hampshire,53.3%
30,New Jersey,48.3%
31,New Mexico,45.3%
32,New York,43.8%
33,North Carolina,49.3%
34,North Dakota,59.8%
35,Ohio,51.1%
36,Oklahoma,47.1%
37,Oregon,58.2%
38,Pennsylvania,52.1%
39,Rhode Island,48.7%
40,South Carolina,46.9%
41,South Dakota,51%
42,Tennesee,47.8%
43,Texas,42.2%
44,Utah,54%
45,Vermont,54.2%
46,Virginia,52%
47,Washington,56%
48,West Virginia,43.4%
49,Wisconsin,62.6%
50,Wyoming,51.2%
