,Month,Revenue in million U.S. dollars
0,July-Sep '19,447.0
1,Apr-Jun '19,441.0
2,Jan-Mar '19**,251.0
3,Jul-Sept '18,417.63
4,Apr-Jun '18,384.8
5,Jan-Mar '18,316.0
6,Oct-Dec '17,395.34
7,Jul-Sept '17,378.64
8,Apr-Jun '17,376.83
9,Jan-Mar '17,319.23
10,Oct-Dec '16,392.6
11,Jul-Sept '16,351.9
12,Apr-Jun '16,343.02
13,Jan-Mar '16,297.31
14,Oct-Dec '15,336.16
15,Jul-Sept '15,311.56
16,Apr-Jun '15,285.56
17,Jan-Mar '15,230.8
18,Oct-Dec '14,268.0
19,Jul-Sept '14,239.59
20,Apr-Jun '14,218.89
21,Jan-Mar '14,194.32
22,Nov-Dec '13*,136.99
23,Aug-Oct '13,180.38
24,May-Jul '13,157.36
25,Feb-Apr '13,125.51
26,Nov '12-Jan '13,125.09
27,Aug-Oct '12,120.01
28,May-Jul '12,101.27
29,Feb-Apr '12,80.78
30,Nov '11-Jan '12,81.33
31,Aug-Oct '11,75.01
32,May-Jul '11,66.97
33,Feb-Apr '11,51.04
