,Response,Share of respondents who approve of the president
0,District of Columbia,83%
1,Hawaii,63%
2,Rhode Island,58%
3,Vermont,56%
4,New York,55%
5,Massachusetts,55%
6,Maryland,55%
7,New Jersey,53%
8,Connecticut,53%
9,California,52%
10,Washington,51%
11,Illinois,51%
12,Delaware,51%
13,Minnesota,50%
14,Michigan,49%
15,Wisconsin,49%
16,Maine,47%
17,Oregon,47%
18,Iowa,46%
19,Florida,46%
20,Virginia,46%
21,Pennsylvania,46%
22,Georgia,45%
23,Nevada,45%
24,New Mexico,45%
25,North Carolina,45%
26,Ohio,44%
27,Mississippi,44%
28,Colorado,43%
29,New Hampshire,43%
30,Arizona,42%
31,Texas,42%
32,Missouri,41%
33,Louisiana,40%
34,South Carolina,40%
35,Indiana,38%
36,Kentucky,38%
37,Kansas,38%
38,Nebraska,38%
39,Arkansas,38%
40,South Dakota,38%
41,North Dakota,37%
42,Tennessee,37%
43,Alabama,36%
44,Oklahoma,35%
45,Montana,34%
46,Idaho,31%
47,West Virginia,31%
48,Alaska,29%
49,Wyoming,28%
50,Utah,26%
