,State,Number of children
0,California,23340
1,Texas,13431
2,Florida,12893
3,Indiana,9455
4,Arizona,7069
5,Ohio,6408
6,Illinois,5446
7,Michigan,5212
8,Massachusetts,4538
9,Oregon,3567
10,Georgia,3267
11,South Carolina,3245
12,Iowa,2805
13,Louisiana,2660
14,Minnesota,2444
15,West Virginia,2351
16,Oklahoma,2308
17,Nevada,2288
18,Wisconsin,2066
19,Alabama,2061
20,Washington,2045
21,Missouri,2018
22,Montana,1862
23,Tennessee,1851
24,Colorado,1677
25,Arkansas,1657
26,Mississippi,1601
27,New Jersey,1448
28,Virginia,1373
29,Kentucky,1370
30,Connecticut,1312
31,Utah,1207
32,New Mexico,1086
33,Nebraska,1043
34,Idaho,960
35,Maryland,918
36,Rhode Island,863
37,Maine,831
38,South Dakota,741
39,Alaska,632
40,Hawaii,629
41,Wyoming,523
42,New Hampshire,512
43,North Dakota,452
44,Kansas,332
45,District of Columbia,290
46,Puerto Rico,277
47,Vermont,174
48,Delaware,168
