,Year,GDP per capita in U.S. dollars
0,2024*,60369.33
1,2023*,58449.93
2,2022*,56467.99
3,2021*,54587.9
4,2020*,52952.27
5,2019*,53825.16
6,2018,56420.2
7,2017,55973.64
8,2016,51978.95
9,2015,51496.63
10,2014,61652.51
11,2013,65170.85
12,2012,68436.22
13,2011,67222.14
14,2010,56453.83
15,2009,45685.24
16,2008,49151.94
17,2007,45105.41
18,2006,37868.93
19,2005,36151.04
20,2004,32750.68
21,2003,27222.02
22,2002,21644.93
23,2001,19431.46
24,2000,20851.87
25,1999,21726.34
26,1998,20346.82
27,1997,22990.44
28,1996,23106.85
29,1995,20868.05
30,1994,19703.66
31,1993,17424.34
32,1992,18082.04
33,1991,18631.37
34,1990,18833.86
35,1989,18167.79
36,1988,16214.86
37,1987,12973.74
38,1986,11223.65
39,1985,10946.55
40,1984,12550.98
