,State,Number of stores
0,California,491
1,Ohio,488
2,New York,330
3,Michigan,306
4,Indiana,305
5,North Carolina,275
6,Florida,212
7,Minnesota,203
8,Kentucky,147
9,Illinois,129
10,Pennsylvania,121
11,New Mexico,120
12,Massachusetts,108
13,Arizona,91
14,Wisconsin,69
15,New Jersey,66
16,Virginia,62
17,West Virginia,56
18,South Carolina,52
19,Tennessee,52
20,Washington,32
21,Texas,31
22,Alaska,31
23,Utah,30
24,Rhode Island,19
25,Oregon,13
26,Colorado,12
27,New Hampshire,12
28,Georgia,9
29,Nevada,9
30,Idaho,7
31,Delaware,4
32,Wyoming,3
33,Connecticut,1
34,South Dakota,1
35,Alabama,1
