,type of cancer,"Rate of death per 100,000 population"
0,Lung,23.0
1,Colorectum,12.0
2,Liver,10.7
3,Stomach,9.9
4,Breast,17.7
5,Oesophagus,7.0
6,Pancreas,6.0
7,Prostate,9.5
8,Cervixuteri,8.8
9,Leukaemia,4.0
10,Non-Hodgkinlymphoma,3.3
11,"Brain,centralnervoussystem",3.2
12,Bladder,2.7
13,Ovary,5.4
14,Kidney,2.3
15,"Lip,oralcavity",2.3
16,Multiplemyeloma,1.5
17,Larynx,1.3
18,Corpusuteri,2.5
19,Gallbladder,1.1
20,Nasopharynx,1.0
21,Melanomaofskin,0.73
22,Oropharynx,0.62
23,Thyroid,0.56
24,Hypopharynx,0.5
25,Mesothelioma,0.34
26,Hodgkinlymphoma,0.3
27,Salivaryglands,0.29
28,Vulva,0.45
29,Kaposisarcoma,0.19
30,Penis,0.34
31,Testis,0.24
32,Vagina,0.21
