,Year,Inflation rate compared to previous year
0,2025*,1.6%
1,2024*,1.5%
2,2023*,1.4%
3,2022*,1.2%
4,2021*,0.9%
5,2020*,0.4%
6,2019,0.73%
7,2018,0.71%
8,2017,1.06%
9,2016,0.02%
10,2015,0.23%
11,2014,0.35%
12,2013,0.52%
13,2012,2.35%
14,2011,2.66%
15,2010,2.2%
16,2009,1.04%
17,2008,3.64%
18,2007,1.66%
19,2006,1.84%
20,2005,1.73%
21,2004,0.94%
22,2003,1.96%
23,2002,2.4%
24,2001,2.27%
25,2000,2.75%
26,1999,2.04%
27,1998,1.31%
28,1997,1.93%
29,1996,2.09%
30,1995,2.04%
31,1994,1.84%
32,1993,0.87%
33,1992,1.94%
34,1991,2.17%
35,1990,6.84%
36,1989,4.78%
37,1988,4.53%
38,1987,3.98%
39,1986,3.72%
40,1985,4.66%
