,Year,Number of deaths
0,2020*,2
1,2019,1
2,2018,2
3,2017,1
4,2016,0
5,2015,4
6,2014,6
7,2013,9
8,2012,44
9,2011,48
10,2010,103
11,2009,109
12,2008,55
13,2007,91
14,2006,73
15,2005,27
16,2004,29
17,2003,61
18,2002,12
19,2001,15
20,2000,15
21,1999,12
22,1998,22
23,1997,12
24,1996,21
25,1995,33
26,1994,32
27,1993,26
28,1992,36
29,1991,73
30,1990,45
31,1989,55
32,1988,56
33,1987,40
34,1986,40
35,1985,16
36,1984,37
37,1983,44
38,1982,297
39,1981,47
40,1980,53
41,1979,90
42,1978,49
43,1977,54
44,1976,64
45,1975,67
46,1974,87
47,1973,104
48,1972,173
49,1971,71
50,1970,13
51,1969,7
52,1968,0
53,1967,74
54,1966,66
55,1965,100
56,1964,88
57,1963,31
58,1962,9
59,1961,2
60,1960,39
61,1959,67
62,1958,161
63,1957,127
64,1956,306
65,1955,145
66,1954,229
67,1953,456
68,1952,566
69,1951,829
70,1950,290
71,1949,239
72,1948,329
73,1947,279
74,1946,246
75,1945,30
