,Year,Deaths per million inhabitants
0,1899,0.0
1,1898,0.2
2,1897,0.0
3,1896,0.0
4,1895,0.0
5,1894,3.5
6,1893,5.0
7,1892,0.8
8,1891,0.2
9,1890,0.2
10,1889,0.4
11,1888,1.5
12,1887,0.6
13,1886,0.2
14,1885,0.8
15,1884,12.0
16,1883,27.0
17,1882,34.0
18,1881,65.0
19,1880,38.0
20,1879,31.0
21,1878,44.0
22,1877,79.0
23,1876,136.0
24,1875,461.0
25,1874,936.0
26,1873,261.0
27,1872,81.0
28,1871,78.0
29,1870,183.0
30,1869,354.0
31,1868,342.0
32,1867,252.0
33,1866,292.0
34,1865,323.0
35,1864,182.0
36,1863,76.0
37,1862,37.0
38,1861,49.0
39,1860,184.0
40,1859,388.0
41,1858,345.0
42,1857,152.0
43,1856,14.0
44,1855,11.0
45,1854,57.0
46,1853,78.0
47,1852,433.0
48,1851,707.0
49,1850,395.0
50,1849,99.0
51,1848,21.0
52,1847,4.0
53,1846,4.0
54,1845,2.0
55,1844,2.0
56,1843,3.0
57,1842,18.0
58,1841,75.0
59,1840,207.0
60,1839,621.0
61,1838,583.0
62,1837,117.0
63,1836,45.0
64,1835,147.0
65,1834,352.0
66,1833,387.0
67,1832,213.0
68,1831,211.0
69,1830,36.0
70,1829,19.0
71,1828,90.0
72,1827,212.0
73,1826,223.0
74,1825,449.0
75,1824,226.0
76,1823,15.0
77,1822,4.0
78,1821,14.0
79,1820,55.0
80,1819,63.0
81,1818,120.0
82,1817,96.0
83,1816,277.0
84,1815,191.0
85,1814,126.0
86,1813,225.0
87,1812,167.0
88,1811,291.0
89,1810,347.0
90,1809,1009.0
91,1808,759.0
92,1807,888.0
93,1806,616.0
94,1805,452.0
95,1804,608.0
96,1803,613.0
97,1802,646.0
98,1801,2566.0
99,1800,5126.0
100,1799,1609.0
101,1798,585.0
102,1797,751.0
103,1796,1963.0
104,1795,2956.0
105,1794,1758.0
106,1793,944.0
107,1792,880.0
108,1791,1425.0
109,1790,2740.0
110,1789,3149.0
111,1788,2544.0
112,1787,825.0
113,1786,313.0
114,1785,2370.0
115,1784,5827.0
116,1783,1836.0
117,1782,1166.0
118,1781,699.0
119,1780,1593.0
120,1779,7196.0
121,1778,3177.0
122,1777,943.0
123,1776,737.0
124,1775,631.0
125,1774,1032.0
