,Most watched commercials on television,Gross Rating Points
0,"Renault/Captur(Telecinco, 03/19/2020)",9.7
1,"Clairol/Herbal Essences/Gama (Telecinco, 03/19/2020)",9.6
2,"República móvil/Telephone provider (Telecinco, 03/17/2020)",9.2
3,"BBVA/Online account (Telecinco, 03/17/2020)",9.2
4,"Amstel/Beer(Telecinco, 03/19/2020)",9.1
5,"Asevi/Floor cleaner (Telecinco, 03/19/2020)",9.1
6,"Nissan/Tech days (Telecinco, 10/19/2020)",9.1
7,"Carretilla/Ready meals (Antena 3, 03/20/2020)",9.0
8,"Vodafone/Telephone provider (Antena 3, 03/20/2020)",8.9
9,"Renault/Captur (Antena 3, 03/20/2020)",8.9
