,Year,Gross domestic product in billion international dollars
0,2021*,7.18
1,2020*,6.61
2,2019*,6.41
3,2018,5.95
4,2017,5.45
5,2016,5.1
6,2015,4.95
7,2014,4.71
8,2013,4.69
9,2012,4.48
10,2011,4.18
11,2010,4.46
12,2009,4.16
13,2008,3.87
14,2007,3.57
15,2006,3.38
16,2005,3.3
17,2004,3.27
18,2003,2.98
19,2002,2.73
20,2001,2.78
21,2000,2.57
22,1999,2.39
23,1998,2.21
24,1997,2.05
25,1996,1.99
26,1995,1.9
27,1994,1.8
28,1993,1.82
29,1992,1.72
30,1991,1.65
31,1990,1.56
32,1989,1.42
33,1988,1.31
34,1987,1.25
35,1986,1.18
36,1985,1.13
37,1984,1.06
