,Hospital (Location),Revenue in billion U.S. dollars
0,Methodist Hospital (San Antonio),5.69
1,Baptist Medical Center (San Antonio),5.3
2,"CJW Medical Center-Chippenham Campus (Richmond, Va.)",3.8
3,Doctors Medical Center of Modesto (Calif.),3.49
4,Oklahoma University Medical Center (Oklahoma City),3.46
5,Sunrise Hospital & Medical Center (Las Vegas),3.33
6,Medical City Hospital (Dallas),3.23
7,"Brookwood Medical Center (Birmingham, Ala.)",3.21
8,Hahnemann University Hospital (Philadelphia),3.11
9,"Las Palmas Medical Center (El Paso, Texas)",2.96
