,Year,Inflation rate compared to previous year
0,2024*,2.55%
1,2023*,2.55%
2,2022*,2.55%
3,2021*,2.89%
4,2020*,3.27%
5,2019*,4.17%
6,2018,4.63%
7,2017,1.34%
8,2016,-1.56%
9,2015,-0.6%
10,2014,1.08%
11,2013,4%
12,2012,3.34%
13,2011,5.8%
14,2010,6.11%
15,2009,5.58%
16,2008,7.85%
17,2007,4.83%
18,2006,6.59%
19,2005,9%
20,2004,11.86%
21,2003,15.37%
22,2002,22.5%
23,2001,34.45%
24,2000,45.67%
25,1999,45.8%
26,1998,59.1%
27,1997,154.76%
28,1996,38.81%
29,1995,32.27%
30,1994,136.74%
31,1993,256.11%
32,1992,210.39%
33,1991,161.12%
34,1990,127.9%
35,1989,0.9%
36,1988,2.6%
37,1987,1.1%
38,1986,0.7%
39,1985,-0.2%
40,1984,-0.32%
