,Year,Number of deaths
0,1977,157
1,1978,174
2,1979,126
3,1980,138
4,1981,136
5,1982,128
6,1983,113
7,1984,119
8,1985,128
9,1986,119
10,1987,132
11,1988,136
12,1989,118
13,1990,108
14,1991,108
15,1992,75
16,1993,79
17,1994,106
18,1995,98
19,1996,96
20,1997,99
21,1998,91
22,1999,112
23,2000,103
24,2001 *,443
25,2002,98
26,2003,106
27,2004,104
28,2005,87
29,2006,89
30,2007,106
31,2008,105
32,2009,82
33,2010,73
34,2011,61
35,2012,64
36,2013,97
37,2014,64
38,2015,68
39,2016,69
40,2017,60
41,2018,64
42,2019,48
