,Month,Number of viewers in thousands
0,November 2020,106.29
1,October 2020,66.99
2,September 2020,54.13
3,August 2020,54.16
4,July 2020,71.07
5,June 2020,54.01
6,May 2020,55.28
7,April 2020,57.2
8,March 2020,30.82
9,February 2020,24.7
10,January 2020,25.18
11,December 2019,22.81
12,November 2019,21.92
13,October 2019,20.32
14,September 2019,32.79
15,August 2019,44.01
16,July 2019,25.15
17,June 2019,23.72
18,May 2019,11.98
19,April 2019,8.55
20,March 2019,7.31
21,February 2019,9.33
22,January 2019,14.53
23,December 2018,8.58
24,November 2018,5.96
25,October 2018,5.91
26,September 2018,5.6
27,August 2018,7.17
28,July 2018,7.06
29,June 2018,4.27
30,May 2018,4.13
31,April 2018,5.55
32,March 2018,4.87
33,February 2018,4.96
34,January 2018,5.37
