,Year,Gross domestic product in billion U.S. dollars
0,2024*,394.89
1,2023*,363.03
2,2022*,334.5
3,2021*,308.63
4,2020*,284.85
5,2019*,261.64
6,2018,241.27
7,2017,220.38
8,2016,201.33
9,2015,191.29
10,2014,185.76
11,2013,170.44
12,2012,155.48
13,2011,136.6
14,2010,112.77
15,2009,101.63
16,2008,98.27
17,2007,77.52
18,2006,66.39
19,2005,57.65
20,2004,49.52
21,2003,39.56
22,2002,35.1
23,2001,32.52
24,2000,31.18
25,1999,28.7
26,1998,27.23
27,1997,26.89
28,1996,24.69
29,1995,20.8
30,1994,16.31
31,1993,13.18
32,1992,9.87
33,1991,7.64
34,1990,6.47
35,1989,6.29
36,1988,23.23
37,1987,42.05
38,1986,33.87
39,1985,15.0
40,1984,48.18
