,industry,Unemployment rate
0,"Forestry, fishing, mining, quarrying, oil and gas",7.3%
1,Construction,6.7%
2,"Business, building and other support services",6.1%
3,Accommodation and food services,5.5%
4,"Information, culture and recreation",5.4%
5,Agriculture,4.4%
6,Wholesale and retail trade,3.7%
7,Educational services,3.7%
8,Manufacturing,3.6%
9,Transportation and warehousing,3.2%
10,Other services (except public administration),2.8%
11,"Professional, scientific and technical services",2.7%
12,Public administration,2%
13,Utilities,1.7%
14,"Finance, insurance, real estate, rental and leasing",1.6%
15,Health care and social assistance,1.5%
