,Month,Index number of sales per week
0,Nov 20,74.9
1,Oct 20,103.5
2,Sep 20,107.7
3,Aug 20,94.1
4,Jul 20,87.6
5,Jun 20,68.8
6,May 20,23.4
7,Apr 20,25.4
8,Mar 20,61.6
9,Feb 20,102.2
10,Jan 20,101.4
11,Dec 19,98.2
12,Nov 19,99.9
13,Oct 19,101.2
14,Sep 19,107.7
15,Aug 19,109.3
16,Jul 19,114.0
17,Jun 19,111.6
18,May 19,112.6
19,Apr 19,106.6
20,Mar 19,108.8
21,Feb 19,99.9
22,Jan 19,98.5
23,Dec 18,105.3
24,Nov 18,107.1
25,Oct 18,104.9
26,Sep 18,104.6
27,Aug 18,108.4
28,Jul 18,109.3
29,Jun 18,90.5
30,May 18,99.3
31,Apr 18,95.1
32,Mar 18,90.2
33,Feb 18,92.6
34,Jan 18,95.1
35,Dec 17,92.4
36,Nov 17,103.0
37,Oct 17,92.7
38,Sep 17,94.3
39,Aug 17,94.6
40,Jul 17,93.1
41,Jun 17,91.7
42,May 17,90.7
43,Apr 17,93.4
44,Mar 17,93.1
45,Feb 17,94.2
46,Jan 17,91.1
47,Dec 16,86.9
48,Nov 16,82.9
49,Oct 16,86.1
50,Sep 16,80.8
51,Aug 16,80.1
52,Jul 16,79.5
53,Jun 16,83.4
54,May 16,77.8
55,Apr 16,78.2
56,Mar 16,74.7
57,Feb 16,76.3
58,Jan 16,73.0
