,Industry,Export value in billion U.S. dollars
0,Transportation equipment,101.74
1,Computer and electronic products,68.68
2,Chemicals,52.62
3,Machinery; except electrical,50.55
4,Petroleum & coal products,38.98
5,Electrical equipment; appliances & components,28.72
6,Food manufactures,24.64
7,Fabricated metal products; nesoi,23.1
8,Plastics & rubber products,20.55
9,Primary metal mfg,20.45
10,Oil & gas,18.67
11,Special classification provisions; nesoi,17.37
12,Agricultural products,15.74
13,Miscellaneous manufactured commodities,14.41
14,Paper,11.04
