,Company,Revenue compound annual growth rate (CAGR)
0,Konfío | Red Amigo DAL (Mexico),185.7%
1,Coderhouse (Argentina),155.4%
2,Comparaguru México (Coru) (Mexico),109%
3,Zinobe (Colombia),108.3%
4,K-Supply Group (Colombia),105.1%
5,HTK Lentes Oftálmicas (Hayek Lentes) (Brazil),90.4%
6,Oftalmología de Alta Tecnología (Colombia),85.6%
7,Magnus Seguridad (Colombia),82.9%
8,CR Proyectos (Colombia),82.2%
9,American School Way (Colombia),79.3%
10,Bio Bolsa (Colombia),77.2%
11,Valemobi Consultoria Empresarial (Brazil),75.5%
12,Omega Geração (Brazil),73%
13,Calima Motor (Colombia),68.4%
14,Gupo Logístico Especializado (Colombia),64.7%
