,university,Number of applicants
0,In total,22314
1,University of Helsinki,4343
2,University of Tampere,2983
3,University of Turku,2505
4,University of Jyväskylä,2404
5,University of Eastern Finland,2264
6,University of Oulu,2107
7,Aalto University,1930
8,Tampere University of Technology,1232
9,Åbo Akademi University,967
10,University of Vaasa,800
11,University of Lapland,669
12,Lappeenranta University of Technology,540
13,Hanken School of Economics,299
14,University of Arts Helsinki,291
15,National Defence University,148
