,Year,Gross domestic product in billion international dollars
0,2021*,2.94
1,2020*,2.7
2,2019*,2.93
3,2018,2.84
4,2017,2.7
5,2016,2.56
6,2015,2.45
7,2014,2.42
8,2013,2.35
9,2012,2.35
10,2011,2.31
11,2010,2.17
12,2009,2.13
13,2008,2.15
14,2007,2.01
15,2006,1.92
16,2005,1.76
17,2004,1.71
18,2003,1.55
19,2002,1.46
20,2001,1.43
21,2000,1.45
22,1999,1.42
23,1998,1.36
24,1997,1.27
25,1996,1.26
26,1995,1.2
27,1994,1.15
28,1993,1.11
29,1992,1.08
30,1991,0.98
31,1990,0.94
32,1989,0.83
33,1988,0.73
34,1987,0.62
35,1986,0.58
36,1985,0.5
37,1984,0.43
