,industry,Average number of employees
0,Public administration and service,11058
1,Fishing and other related industries,4332
2,Wholesale and retail trade,3038
3,Construction,2042
4,Transportation and storage,2013
5,Accommodation and food service activities,818
6,Information and communication,631
7,Administrative and support service activities,480
8,Energy and watersupply,441
9,Other service industries,369
10,"Professional, scientific and technical activities",306
11,Real estate activities,269
12,Manufacturing,227
13,Financial and insurance activities,180
14,Mining and quarrying,95
15,Unknown,467
