,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,1.98%
3,2022*,1.81%
4,2021*,1.76%
5,2020*,1.24%
6,2019,1.49%
7,2018,2.12%
8,2017,2.23%
9,2016,0.97%
10,2015,0.81%
11,2014,1.47%
12,2013,2.12%
13,2012,2.57%
14,2011,3.54%
15,2010,1.69%
16,2009,0.41%
17,2008,3.23%
18,2007,2.2%
19,2006,1.69%
20,2005,2.1%
21,2004,1.96%
22,2003,1.3%
23,2002,1.68%
24,2001,2.3%
25,2000,1.96%
26,1999,0.51%
27,1998,0.82%
28,1997,1.17%
29,1996,1.77%
30,1995,1.61%
31,1994,2.71%
32,1993,3.23%
33,1992,3.43%
34,1991,3.12%
35,1990,2.78%
36,1989,2.25%
37,1988,1.87%
38,1987,1.41%
39,1986,1.74%
40,1985,3.19%
