,Response,Snapchat,Instagram,Twitter,Facebook,Tumblr,Pinterest,Google+,Other
0,Fall 2012,-,12%,27%,42%,3%,2%,6%,2%
1,Spring 2013,-,17%,30%,33%,4%,2%,5%,4%
2,Fall 2013,-,27%,31%,27%,5%,2%,4%,2%
3,Spring 2014,-,30%,27%,23%,5%,2%,4%,4%
4,Spring 2015,11%,29%,21%,12%,4%,2%,1%,8%
5,Fall 2015,17%,29%,18%,13%,3%,1%,1%,8%
6,Spring 2016,24%,23%,16%,15%,2%,1%,1%,5%
7,Fall 2016,35%,24%,13%,13%,-,1%,1%,-
8,Spring 2017,39%,23%,11%,11%,-,1%,-,-
9,Fall 2017,47%,24%,7%,9%,-,-,-,-
10,Spring 2018,45%,26%,9%,8%,-,1%,-,-
11,Fall 2018,46%,32%,6%,6%,-,1%,-,-
12,Spring 2019,41%,35%,6%,6%,-,1%,-,-
