,hotel chain,Net income in million U.S. dollars
0,Starwood Hotels and Resorts,635.0
1,Marriott International,626.0
2,Hilton Worldwide,460.0
3,Shangri-La Hotels & Resorts,441.1
4,Wyndham Worldwide,432.0
5,InterContinental Hotels Group,420.0
6,Millennium & Copthorne Hotels,251.9
7,Peninsula,220.8
8,Hyatt Hotels Corp.,207.0
9,Accor,191.3
10,Choice Hotels International,112.6
11,Mandarin Oriental Hotel Group,96.8
12,Extended Stay America,82.7
13,China Lodging Group,46.2
14,La Quinta Inns & Suites,44.5
15,Home Inns,32.1
16,Steigenberger Hotel Group,27.1
17,Red Lion Hotels Corp.,-14.0
18,Orient-Express Hotels,-31.5
19,Morgans Hotel Group,-44.1
20,NH Hoteles,-54.8
21,"Taj Hotels, Resorts and Palaces*",-78.7
22,Melia Hotels International,-97.9
