,Country,Index value in points
0,Italy,98.26
1,France,98.17
2,Germany,97.96
3,United Kingdom,97.9
4,Spain,97.46
5,Netherlands,97.33
6,Sweden,97.26
7,Switzerland,96.37
8,Belgium,96.27
9,Austria,95.96
10,Portugal,93.84
11,Finland,93.82
12,Denmark,93.77
13,United States,93.62
14,Russian Federation,93.05
15,India,92.96
16,Turkey,92.47
17,Canada,92.41
18,Greece,91.95
19,Hungary,91.85
20,"Egypt, Arab Rep.",91.83
21,Argentina,91.66
22,Poland,91.61
23,"Korea, Rep.",91.16
24,Romania,91.11
25,China,90.61
26,Norway,90.23
27,Australia,90.21
28,Czech Republic,90.16
29,Ukraine,89.24
30,Japan,88.73
31,Mexico,88.61
32,Chile,87.73
33,South Africa,87.6
34,Indonesia,87.28
35,Morocco,87.06
36,Serbia,87.02
37,Bulgaria,87.02
38,Peru,85.9
39,Nigeria,85.72
40,Croatia,85.47
41,Malaysia,85.28
42,Slovak Republic,85.19
43,Pakistan,85.05
44,Tunisia,83.65
45,Slovenia,83.45
46,Senegal,83.34
47,Philippines,82.96
48,Uruguay,82.8
49,Thailand,82.14
50,Jordan,82.06
51,Ghana,81.39
52,Algeria,80.36
53,Estonia,80.05
54,Colombia,79.64
55,Kenya,79.62
56,"Iran, Islamic Rep.",79.52
57,Cuba,79.43
58,Lithuania,79.2
59,Brazil,79.17
60,Guatemala,78.75
61,Latvia,78.3
62,Ethiopia,78.04
63,Sri Lanka,78.03
64,New Zealand,77.85
65,Tanzania,77.19
66,Ecuador,77.12
67,Ireland,76.94
68,Bosnia and Herzegovina,76.55
69,El Salvador,75.38
70,Belarus,75.22
71,Bangladesh,75.1
72,Paraguay,75.02
73,Costa Rica,74.97
74,Israel,74.68
75,Vietnam,74.39
76,Cote d'Ivoire,73.99
77,Cameroon,73.63
78,Bolivia,73.54
79,Dominican Republic,73.37
80,Burkina Faso,72.74
81,"Venezuela, RB",72.51
82,"Macedonia, FYR",72.24
83,Kazakhstan,71.61
84,Uganda,71.59
85,Zambia,71.33
86,Moldova,71.16
87,Luxembourg,71.03
88,Benin,70.79
89,Armenia,70.57
90,Mongolia,70.14
91,Qatar,69.68
92,Georgia,69.41
93,Honduras,69.02
94,Mali,68.64
95,Zimbabwe,68.49
96,Singapore,68.43
97,Guinea,68.41
98,"Congo, Dem. Rep.",68.36
99,Lebanon,67.96
