,Response,Share of respondents
0,Sexual harassment,45%
1,Physical violence,41%
2,Sexual violence,40%
3,Equal pay,20%
4,Sexualization of women and girls in the media,17%
5,Domestic abuse,14%
6,Workplace discrimination,11%
7,"The amount of unpaid work that women do (e.g. cooking, cleaning, childcare)",11%
8,Balancing work and caring responsibilities,11%
9,Gender stereotyping,10%
10,Abuse on social media,7%
11,Access to employment,7%
12,Lack financial/ economic independence,6%
13,Lack of women in leadership roles in business and public life,5%
14,Support for pregnant women and new mothers,3%
