,Month,Unique users in millions
0,Nov '20,25.08
1,Oct '20,24.63
2,Sep '20,21.21
3,Aug '20,21.68
4,Jul '20,21.22
5,Jun '20,20.86
6,May '20,23.71
7,Apr '20,25.84
8,Mar '20,27.27
9,Feb '20,19.44
10,Jan '20,18.27
11,Dez '19,15.48
12,Nov '19,16.0
13,Oct '19,15.57
14,Sep '19,15.8
15,Aug '19,15.88
16,Jul '19,16.13
17,Jun '19,15.82
18,Mai '19,16.56
19,Apr '19,15.17
20,Mär '19,15.3
21,Feb '19,14.32
22,Jan '19,15.03
23,Dez '18,14.02
24,Nov '18,14.57
25,Okt '18,14.75
26,Sep '18,14.58
27,Aug '18,14.04
28,Jul '18,12.95
29,Jun '18,13.59
30,Mai '18,13.72
