,NAICS Category,Number of jobs
0,Health care and social assistance,69855
1,Retail trade,57990
2,Public administration,45720
3,Educational services,42895
4,Accommodation and food services,39980
5,Manufacturing,31240
6,Construction,29670
7,"Professional, scientific and technical services",24765
8,"Administrative and support, waste management and remediation services",24055
9,Other services (except public administration),22095
10,Transportation and warehousing,16115
11,Wholesale trade,14705
12,Finance and insurance,13835
13,"Agriculture, forestry, fishing and hunting",12790
14,Real estate and rental and leasing,8255
15,"Arts, entertainment and recreation",7490
16,Information and cultural industries,6730
17,Utilities,2720
18,"Mining, quarrying, and oil and gas extraction",1555
19,Holding companies,1080
