,Year,Average ticket price in U.S. dollars
0,2013,89.81
1,2012,86.12
2,2011,96.49
3,2010,88.69
4,2009,89.88
5,2008,77.92
6,2007,67.47
7,2006,71.7
8,2005,63.28
9,2004,64.53
10,2003,54.26
11,2002,48.91
12,2001,44.93
13,2000,40.14
14,1999,37.01
15,1998,37.2
16,1997,33.2
17,1996,27.64
18,1995,26.13
19,1994,23.96
20,1993,22.35
21,1992,21.31
22,1991,21.63
23,1990,18.33
24,1989,17.8
25,1988,16.38
26,1987,16.23
27,1986,14.77
28,1985,13.84
29,1984,14.26
30,1983,12.3
31,1982,11.67
32,1981,10.85
33,1980,9.69
