,Industry Type,GDP in million chained 2012 Canadian dollars
0,"Mining, quarrying, and oil and gas extraction",20975.8
1,Real estate and rental and leasing,7707.7
2,"Agriculture, forestry, fishing and hunting",7207.1
3,Construction,5716.9
4,Manufacturing,4959.9
5,Health care and social assistance,4733.0
6,Public administration,4139.4
7,Wholesale trade,3864.3
8,Transportation and warehousing,3738.8
9,Educational services,3622.0
10,Retail trade,3149.5
11,Finance and insurance,2603.4
12,Utilities,1816.2
13,"Professional, scientific and technical services",1596.5
14,Information and cultural industries,1332.5
15,Accommodation and food services,1203.7
16,Other services (except public administration),1155.9
17,"Administrative and support, waste management and remediation services",841.0
18,"Arts, entertainment and recreation",435.3
19,Management of companies and enterprises,279.8
