,Quarter,Computer Entertainment System (PS2 / PS3)**,Portable Entertainment System PS TV / PS Vita / PSP),PS4
0,Q3 '19,-,-,6.1
1,Q2 '19,-,-,2.8
2,Q1 '19,-,-,3.2
3,Q4 '18,-,-,2.6
4,Q3 '18,-,-,8.1
5,Q2 '18,-,-,3.9
6,Q1 '18,-,-,3.2
7,Q4 '17,-,-,2.5
8,Q3 '17,-,-,9
9,Q2 '17,-,-,4.2
10,Q1 '17,-,-,3.3
11,Q4 '16,-,-,2.9
12,Q3 '16,-,-,9.7
13,Q2 '16,-,-,3.9
14,Q1 '16,-,-,3.5
15,Q4 '15,-,-,2.3
16,Q3 '15,-,-,8.4
17,Q2 '15,-,-,4
18,Q1 '15,-,-,3
19,Q4 '14,0.4,0.45,2.4
20,Q3 '14,1.1,1.4,6.4
21,Q2 '14,0.8,0.7,3.3
22,Q1 '14,0.8,0.75,2.7
23,Q4 '13,0.7,0.7,3
24,Q3 '13,3.3,2,4.5
25,Q2 '13,2,0.8,-
26,Q1 '13,1.1,0.6,-
27,Q4 '12,3.4,1.3,-
28,Q3 '12,6.8,2.7,-
29,Q2 '12,3.5,1.6,-
30,Q1 '12,2.8,1.4,-
31,Q4 '11,2.5,0.9,-
32,Q3 '11,7.4,2.4,-
33,Q2 '11,4.9,1.7,-
34,Q1 '11,3.2,1.8,-
