,Year,Population in thousands
0,2020,9006.4
1,2019,8955.11
2,2018,8891.38
3,2017,8819.9
4,2016,8747.31
5,2015,8678.67
6,2014,8615.21
7,2013,8556.19
8,2012,8502.23
9,2011,8453.5
10,2010,8409.95
11,2009,8372.66
12,2008,8341.53
13,2007,8313.73
14,2006,8285.35
15,2005,8253.66
16,2004,8216.81
17,2003,8175.86
18,2002,8134.4
19,2001,8097.76
20,2000,8069.28
21,1999,8051.12
22,1998,8041.05
23,1997,8032.87
24,1996,8017.85
25,1995,7990.11
26,1994,7947.22
27,1993,7892.09
28,1992,7830.94
29,1991,7772.7
30,1990,7723.95
31,1989,7686.56
32,1988,7658.86
33,1987,7639.35
34,1986,7625.4
35,1985,7614.87
36,1984,7607.3
37,1983,7603.1
38,1982,7602.18
39,1981,7604.51
40,1980,7609.75
41,1979,7617.88
42,1978,7627.76
43,1977,7636.57
44,1976,7640.76
45,1975,7637.69
46,1974,7626.29
47,1973,7607.07
48,1972,7581.12
49,1971,7550.34
50,1970,7516.24
51,1969,7479.34
52,1968,7439.58
53,1967,7397.17
54,1966,7352.24
55,1965,7305.15
56,1964,7256.09
57,1963,7205.99
58,1962,7156.84
59,1961,7111.14
60,1960,7070.77
61,1959,7036.55
62,1958,7008.42
63,1957,6985.72
64,1956,6967.62
65,1955,6953.4
66,1954,6942.62
67,1953,6935.15
68,1952,6931.19
69,1951,6931.35
70,1950,6936.44
71,1949,6920.0
72,1948,6900.0
73,1947,6870.0
74,1946,6850.0
75,1945,6830.0
76,1944,6800.0
77,1943,6780.0
78,1942,6760.0
79,1941,6740.0
80,1940,6730.0
81,1939,6720.0
82,1938,6710.0
83,1937,6710.0
84,1936,6700.0
85,1935,6700.0
86,1934,6700.0
87,1933,6700.0
88,1932,6700.0
89,1931,6690.0
90,1930,6680.0
91,1929,6660.0
92,1928,6650.0
93,1927,6620.0
94,1926,6600.0
95,1925,6580.0
96,1924,6550.0
97,1923,6530.0
98,1922,6510.0
99,1921,6490.0
100,1920,6490.0
101,1919,6490.0
102,1918,6490.0
103,1917,6510.0
104,1916,6530.0
105,1915,6540.0
106,1914,6560.0
107,1913,6570.0
108,1912,6590.0
109,1911,6590.0
110,1910,6570.0
111,1909,6540.0
112,1908,6490.0
113,1907,6420.0
114,1906,6360.0
115,1905,6290.0
116,1904,6230.0
117,1903,6170.0
118,1902,6100.0
119,1901,6040.0
120,1900,5980.0
121,1899,5920.0
122,1898,5860.0
123,1897,5800.0
124,1896,5740.0
125,1895,5680.0
126,1894,5620.0
127,1893,5570.0
128,1892,5510.0
129,1891,5460.0
130,1890,5400.0
131,1889,5350.0
132,1888,5300.0
133,1887,5260.0
134,1886,5210.0
135,1885,5170.0
136,1884,5120.0
137,1883,5080.0
138,1882,5030.0
139,1881,4990.0
140,1880,4940.0
141,1879,4900.0
142,1878,4860.0
143,1877,4810.0
144,1876,4770.0
145,1875,4730.0
146,1874,4690.0
147,1873,4640.0
148,1872,4600.0
149,1871,4560.0
150,1870,4530.0
151,1869,4490.0
152,1868,4460.0
153,1867,4430.0
154,1866,4410.0
155,1865,4380.0
156,1864,4350.0
157,1863,4320.0
158,1862,4290.0
159,1861,4260.0
160,1860,4230.0
161,1859,4210.0
162,1858,4180.0
163,1857,4150.0
164,1856,4120.0
165,1855,4090.0
166,1854,4060.0
167,1853,4030.0
168,1852,4010.0
169,1851,3980.0
170,1850,3950.0
171,1849,3930.0
172,1848,3900.0
173,1847,3880.0
174,1846,3850.0
175,1845,3830.0
176,1844,3810.0
177,1843,3780.0
178,1842,3760.0
179,1841,3740.0
180,1840,3720.0
181,1839,3700.0
182,1838,3680.0
183,1837,3660.0
184,1836,3640.0
185,1835,3630.0
186,1834,3610.0
187,1833,3590.0
188,1832,3570.0
189,1831,3560.0
190,1830,3540.0
191,1829,3520.0
192,1828,3500.0
193,1827,3490.0
194,1826,3470.0
195,1825,3450.0
196,1824,3440.0
197,1823,3420.0
198,1822,3400.0
199,1821,3390.0
200,1820,3370.0
201,1819,3350.0
202,1818,3330.0
203,1817,3310.0
204,1816,3290.0
205,1815,3270.0
206,1814,3250.0
207,1813,3240.0
208,1812,3220.0
209,1811,3200.0
210,1810,3180.0
211,1809,3160.0
212,1808,3140.0
213,1807,3120.0
214,1806,3110.0
215,1805,3090.0
216,1804,3070.0
217,1803,3050.0
218,1802,3040.0
219,1801,3020.0
220,1800,3000.0
