,Spanish Company,Dividend per share in euros
0,ACS,2
1,Endesa,1.72
2,Enagas,1.68
3,Repsol,1.01
4,Mediaset,0.44
5,Telefonica,0.4
6,Banco Santander,0.23
7,CaixaBank,0.18
8,Mapfre,0.15
9,Bankia,0.12
10,Iberdrola,-
11,Bankinter,-
12,Ferrovial,-
13,Viscofan,-
14,Cellnex,-
15,Cie Automotive,-
16,Colonial,-
17,Banco Sabadell,-
18,BBVA,-
19,ArcelorMittal,-
20,Red Eléctrica,-
21,Inditex,-
22,Grifols,-
23,IAG,-
24,Naturgy,-
25,Melia,-
26,Merlin,-
27,Siemens Gamesa,-
28,Amadeus,-
29,Aena,-
30,Acerinox,-
31,Ence,-
32,Acciona,-
33,Indra,-
34,Técnicas Reunidas,-
