,State,Growth rate
0,Nevada,3.4%
1,Utah,3.2%
2,Idaho,3.1%
3,Arizona,2.8%
4,Washington,2.6%
5,Colorado,2.4%
6,Florida,2.4%
7,South Carolina,2.4%
8,Texas,2.3%
9,California,2%
10,Georgia,1.9%
11,Oregon,1.8%
12,North Carolina,1.7%
13,Tennessee,1.6%
14,Oklahoma,1.5%
15,West Virginia,1.5%
16,New Mexico,1.3%
17,Alabama,1.2%
18,New York,1.1%
19,Pennsylvania,1.1%
20,Michigan,1.1%
21,Virginia,1.1%
22,Arkansas,1.1%
23,Montana,1.1%
24,South Dakota,1.1%
25,District of Columbia,1%
26,Indiana,1%
27,Delaware,1%
28,New Jersey,0.9%
29,Illinois,0.9%
30,Kansas,0.9%
31,Massachussets,0.9%
32,New Hampshire,0.8%
33,Wisconsin,0.8%
34,Minnesota,0.8%
35,Maine,0.7%
36,Iowa,0.7%
37,Maryland,0.7%
38,Wyoming,0.7%
39,North Dakota,0.6%
40,Ohio,0.6%
41,Louisiana,0.5%
42,Hawaii,0.5%
43,Kentucky,0.5%
44,Missouri,0.5%
45,Rhode Island,0.5%
46,Nebraska,0.4%
47,Mississippi,0.3%
48,Vermont,0.2%
49,Connecticut,0.1%
50,Alaska,-0.6%
