,Month,Units sold
0,Jul '20,2879
1,Jul '19,1768
2,Jan '19,1433
3,Dec '18,1093
4,Nov '18,1674
5,Oct '18,1640
6,Sep '18,2245
7,Aug '18,1620
8,Jul '18,1814
9,Jun '18,2046
10,May '18,1666
11,Apr '18,1613
12,Mar '18,2326
13,Feb '18,992
14,Jan '18,1041
15,Dec '17,905
16,Nov '17,1362
17,Oct '17,1530
18,Sep '17,2165
19,Aug '17,1262
20,Jul '17,1830
21,Jun '17,1941
22,May '17,1925
23,Apr '17,1505
24,Mar '17,2038
25,Feb '17,987
26,Jan '17,1090
27,Dec '16,2592
28,Nov '16,2029
29,Oct '16,2265
30,Sep '16,3408
31,Aug '16,2030
32,Jul '16,2362
