,Country,Number of victims
0,Landslide in the USSR (March 1989),8000
1,"Landslide in China (October 6, 1990)",5105
2,"Landslide in Guatemala (January 4, 2009)",3028
3,"Landslide in Colombia (December 18, 1993)",2411
4,"Landslide in Canada (November 12, 1955)",2006
5,"Avalanche in Russia (November 26, 1992)",1750
6,"Landslide in Canada (May 4, 1971)",1500
7,"Avalanche in Turkey (January 1, 1992)",1069
8,"Landslide in Papua New Guinea (September 6, 1988)",1000
9,"Landslide in Indonesia (May 4, 1987)",701
