,Quarter,Active registered accounts in millions
0,Q3 20,361.0
1,Q2 20,346.0
2,Q1 20,325.0
3,Q4 19,305.0
4,Q3 19,295.0
5,Q2 19,286.0
6,Q1 19,277.0
7,Q4 18,267.0
8,Q3 18,254.0
9,Q2 18,244.0
10,Q1 18,237.0
11,Q4 17,229.0
12,Q3 17,220.0
13,Q2 17,212.0
14,Q1 17,205.0
15,Q4 16,197.0
16,Q3 16,192.0
17,Q2 16,188.0
18,Q1 16,184.0
19,Q4 15,179.0
20,Q3 15,173.0
21,Q2 15,169.0
22,Q1 15,165.2
23,Q4 14,161.5
24,Q3 14,156.9
25,Q2 14,152.5
26,Q1 14,148.4
27,Q4 13,142.6
28,Q3 13,137.4
29,Q2 13,132.4
30,Q1 13,127.7
31,Q4 12,122.7
32,Q3 12,117.4
33,Q2 12,113.2
34,Q1 12,109.8
35,Q4 11,106.3
36,Q3 11,103.0
37,Q2 11,100.3
38,Q1 11,97.7
39,Q4 10,94.4
40,Q3 10,90.5
41,Q2 10,87.2
42,Q1 10,84.3
