,Year,Gross domestic product in billion U.S. dollars
0,2024*,50.93
1,2023*,44.57
2,2022*,41.02
3,2021*,37.1
4,2020*,33.93
5,2019*,30.67
6,2018,28.12
7,2017,26.46
8,2016,24.75
9,2015,22.96
10,2014,26.72
11,2013,25.71
12,2012,24.59
13,2011,21.11
14,2010,20.21
15,2009,18.58
16,2008,17.28
17,2007,13.5
18,2006,10.85
19,2005,9.6
20,2004,8.29
21,2003,6.72
22,2002,6.49
23,2001,6.04
24,2000,5.98
25,1999,6.03
26,1998,6.34
27,1997,6.48
28,1996,5.94
29,1995,5.76
30,1994,4.81
31,1993,3.32
32,1992,2.91
33,1991,3.0
34,1990,5.74
35,1989,7.04
36,1988,8.69
37,1987,8.38
38,1986,5.2
39,1985,5.22
40,1984,5.7
