,province of China,Acreage in thousand hectares
0,Heilongjiang,5874.6
1,Jilin,4219.6
2,Shandong,3846.5
3,Henan,3801.3
4,Inner Mongolia,3776.3
5,Hebei,3408.2
6,Liaoning,2675.0
7,Sichuan,1844.0
8,Yunnan,1782.4
9,Shanxi,1715.0
10,Anhui,1196.5
11,Shaanxi,1177.1
12,Xinjiang,997.2
13,Gansu,987.9
14,Hubei,727.5
15,Guangxi,580.1
16,Guizhou,530.6
17,Jiangsu,504.2
18,Chongqing,438.3
19,Hunan,386.6
20,Ningxia,299.8
21,Tianjin,180.8
22,Guangdong,120.2
23,Zhejiang,76.4
24,Jiangxi,46.5
25,Beijing,33.7
26,Fujian,30.5
27,Qinghai,21.0
28,Tibet,4.7
29,Shanghai,1.6
