,industry classification,GDP in million chained 2012 Canadian dollars
0,Real estate and rental and leasing,6194.8
1,Public administration,4477.4
2,Health care and social assistance,3995.8
3,Manufacturing,2742.8
4,Retail trade,2581.8
5,Educational services,2514.4
6,Construction,2345.3
7,Finance and insurance,2061.2
8,"Professional, scientific and technical services",1612.7
9,Information and cultural industries,1403.6
10,Transportation and warehousing,1341.1
11,Wholesale trade,1223.2
12,Accommodation and food services,948.6
13,"Agriculture, forestry, fishing and hunting",895.3
14,Other services (except public administration),780.0
15,Utilities,775.2
16,"Administrative and support, waste management and remediation services",745.4
17,"Mining, quarrying, and oil and gas extraction",539.5
18,"Arts, entertainment and recreation",226.1
19,Management of companies and enterprises,89.3
