,Month,Number of days
0,Jun '20,1.3
1,May '20,3.1
2,Apr '20,5.2
3,Mar '20,8.7
4,Feb '20,9.1
5,Jan '20,8.8
6,Dec '19,9.5
7,Nov '19,9.0
8,Oct '19,5.4
9,Sep '19,1.4
10,Aug '19,0.2
11,Jul '19,0.1
12,Jun '19,1.6
13,May '19,4.3
14,Apr '19,6.4
15,Mar '19,7.6
16,Feb '19,8.6
17,Jan '19,11.3
18,Dec '18,8.7
19,Nov '18,7.3
20,Oct '18,4.9
21,Sep '18,2.1
22,Aug '18,0.5
23,Jul '18,0.0
24,Jun '18,0.5
25,May '18,2.8
26,Apr '18,6.0
27,Mar '18,10.6
28,Feb '18,12.4
29,Jan '18,10.2
30,Dec '17,10.4
31,Nov '17,8.5
32,Oct '17,3.2
33,Sep '17,2.1
34,Aug '17,0.5
35,Jul '17,0.1
36,Jun '17,0.7
37,May '17,2.9
38,Apr '17,6.5
39,Mar '17,7.0
40,Feb '17,9.3
41,Jan '17,11.2
42,Dec '16,9.0
43,Nov '16,9.7
44,Oct '16,4.6
45,Sep '16,0.7
46,Aug '16,0.1
47,Jul '16,0.4
48,Jun '16,0.9
49,May '16,3.4
50,Apr '16,8.0
51,Mar '16,9.4
52,Feb '16,10.4
53,Jan '16,9.8
54,Dec '15,6.0
55,Nov '15,6.0
56,Oct '15,4.6
57,Sep '15,2.8
58,Aug '15,0.4
59,Jul '15,0.7
60,Jun '15,1.9
61,May '15,4.6
62,Apr '15,6.4
63,Mar '15,9.2
64,Feb '15,11.2
65,Jan '15,10.7
66,Dec '14,10.0
67,Nov '14,7.1
68,Oct '14,3.3
69,Sep '14,0.9
70,Aug '14,0.8
71,Jul '14,0.1
72,Jun '14,0.6
73,May '14,3.3
74,Apr '14,5.4
75,Mar '14,7.9
76,Feb '14,9.2
77,Jan '14,9.9
