,Year,Gross domestic product in billion U.S. dollars
0,2024*,1596.01
1,2023*,1489.69
2,2022*,1390.18
3,2021*,1297.18
4,2020*,1204.83
5,2019*,1111.71
6,2018,1022.45
7,2017,1015.29
8,2016,932.07
9,2015,860.74
10,2014,891.05
11,2013,916.65
12,2012,919.0
13,2011,892.59
14,2010,755.26
15,2009,577.54
16,2008,558.58
17,2007,470.14
18,2006,396.29
19,2005,310.82
20,2004,279.56
21,2003,255.43
22,2002,212.81
23,2001,174.51
24,2000,179.48
25,1999,169.16
26,1998,115.32
27,1997,260.68
28,1996,274.72
29,1995,244.23
30,1994,213.73
31,1993,190.91
32,1992,168.28
33,1991,154.56
34,1990,138.26
35,1989,122.58
36,1988,107.28
37,1987,95.21
38,1986,101.22
39,1985,107.06
40,1984,107.22
