,player,Market (transfer) value in million euros
0,André Onana (Ajax),36.0
1,David Neres (Ajax),36.0
2,Nicolás Tagliafico (Ajax),28.0
3,Donyell Malen (PSV),25.0
4,Lisandro Martínez (Ajax),20.0
5,Mohamed Ihattaren (PSV),20.0
6,Dusan Tadic (Ajax),20.0
7,Daley Blind (Ajax),20.0
8,Antony (Ajax),18.0
9,Sergiño Dest (Ajax),18.0
10,Calvin Stengs (AZ),18.0
11,Myron Boadu (AZ),18.0
12,Orkun Kökcü (Feyenoord),17.5
13,Quincy Promes (Ajax),17.5
14,Philipp Max (PSV),15.0
15,Teun Koopmeiners (AZ),14.5
16,Marcos Senesi (Feyenoord),13.5
17,Oussama Idrissi (AZ),12.0
18,Denzel Dumfries (PSV),12.0
19,Steven Berghuis (Feyenoord),11.0
20,Owen Wijndal (AZ),11.0
21,Ryan Gravenberch (Ajax),11.0
22,Luis Sinisterra (Feyenoord),10.0
23,Noussair Mazraoui (Ajax),9.5
24,Mohammed Kudus (Ajax),8.0
