,Industry,Real value added in billion chained (2012) U.S. dollars
0,Manufacturing,90.02
1,"Finance, insurance, real estate, rental, and leasing",77.97
2,Professional and business services,66.36
3,Government and government enterprises,46.65
4,"Educational services, health care, and social assistance",44.94
5,Wholesale trade,30.82
6,Retail trade,30.52
7,Construction,16.82
8,"Arts, entertainment, recreation, accommodation, and food services",15.37
9,Information,15.06
10,Transportation and warehousing,12.53
11,Other services (except government and government enterprises),10.06
12,Utilities,8.63
13,"Agriculture, forestry, fishing, and hunting",4.34
14,"Mining, quarrying, and oil and gas extraction",2.34
